model,file,rank,idx,task,label
3d_molm,133742_molm_3d_test_rank1.csv,1,4190,chebi-20-text2mol,<SELFIES>[C][C][=Branch1][C][=O][O][C][C@H1][O][C@H1][Branch2][P][O][O][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch2][Ring2][S][O][C@H1][O][C@H1][Branch1][#Branch1][C@H1][Branch1][C][O][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][N][O][C@H1][O][C@H1][Branch1][#Branch1][C@@H1][Branch1][C][O][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][N][O][C@@H1][Branch2][=N][Ring2][O][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch2][=Branch2][#Branch1][O][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch2][=Branch1][O][O][C@H1][C@@H1][Branch2][Ring1][=Branch1][C@H1][Branch1][C][O][C][O][C@H1][O][C][C@H1][Branch1][C][N][C@H1][Branch1][C][O][C@H1][Ring1][Branch2][O][O][C@@][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Ring2][Ring1][#Branch1][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][C@H1][Branch1][C][O][C][O][O][Ring1][#C][O][C@H1][Branch1][#Branch1][C@@H1][Branch1][C][O][C][O][C@H1][Ring2][Branch1][Ring1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][O][C@H1][Branch2][Ring2][#Branch2][C@H1][Branch2][Ring1][#Branch2][C][O][C@H1][O][C@H1][Branch1][#Branch1][C@@H1][Branch1][C][O][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][N][C@H1][Ring2][#Branch1][#C][O][O][C@@H1][Ring2][#Branch2][Ring1][C][=Branch1][C][=O][O][C@H1][Branch1][C][N][C@@H1][Branch1][C][O][C@H1][Ring2][#Branch2][#C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][
3d_molm,133742_molm_3d_test_rank1.csv,1,20697,smol-molecule_generation,<SELFIES>[C][C][=Branch1][C][=O][N][C@H1][C@@H1][Branch3][Ring1][Ring1][Branch1][O][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch1][C][N][C@@H1][Branch2][P][O][O][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch2][Ring2][S][O][C@H1][O][C@H1][Branch1][#Branch1][C@H1][Branch1][C][O][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][N][O][C@H1][O][C@H1][Branch1][#Branch1][C@@H1][Branch1][C][O][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][N][O][C@@H1][Branch2][=N][Ring2][O][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch2][=Branch2][#Branch1][O][C@@H1][C@H1][Branch1][C][O][C@@H1][Branch2][=Branch1][O][O][C@H1][C@@H1][Branch2][Ring1][=Branch1][C@H1][Branch1][C][O][C][O][C@H1][O][C][C@H1][Branch1][C][N][C@H1][Branch1][C][O][C@H1][Ring1][Branch2][O][O][C@@][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Ring2][Ring1][#Branch1][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][C@H1][Branch1][C][O][C][O][O][Ring1][#C][O][C@H1][Branch1][#Branch1][C@@H1][Branch1][C][O][C][O][C@H1][Ring2][Branch1][Ring1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][O][C@H1][Branch2][Ring2][#Branch2][C@H1][Branch2][Ring1][#Branch2][C][O][C@H1][O][C@H1][Branch1][#Branch1][C@@H1][Branch1][C][O][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][N][C@H1][Ring2][#Branch1][#C][O][O][C@@H1][Ring2][#Branch2][Ring1][C][=Branch1][C][=O][O][O][C@@H1][Ring2][#Branch2][#C][C][O][C][Branch1][C][C][=O][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,3524,chebi-20-text2mol,<SELFIES>[C][C][C][C][C][C][C][C][C][C][C][C][C][/C][=C][/C@@H1][Branch1][C][O][C@H1][Branch2][N][O][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][O][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch2][#Branch1][Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Branch1][=C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@H1][Branch2][Ring2][=Branch2][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][=C][Branch1][C][C][O][C@H1][Branch1][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][O][Ring2][Ring1][Ring2][C@H1][Ring2][Ring1][=C][O][C@H1][Ring2][Ring2][=Branch2][N][=C][Branch1][C][C][O][C@H1][Branch2][Ring2][=Branch2][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C@@H1][Branch1][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,3772,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][C][=C][C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][#Branch1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][Branch1][S][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C@@H1][Branch2][Ring1][Branch1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,3916,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@H1][C@H1][Branch2][Ring1][#Branch2][O][C@H1][C@H1][Branch1][C][O][C@@H1][Branch1][#Branch1][N][=C][Branch1][C][C][O][C][Branch1][C][O][O][C@@H1][Ring1][N][C][O][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][#Branch2][#Branch2][O][C@@H1][O][C@H1][Branch2][=Branch1][#Branch1][C][O][C@H1][O][C@H1][Branch2][Ring1][=C][C][O][C@H1][O][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][=C][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][Branch1][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Ring2][Ring2][Ring2][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring2][S][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,3980,chebi-20-text2mol,<SELFIES>[C][C][C][C][C][C][C][C][C][C][C][C@@H1][Branch1][C][O][C][C][=Branch1][C][=O][O][C@@H1][C@@H1][Branch2][Ring1][=Branch1][N][=C][Branch1][C][O][C][C@H1][Branch1][C][O][C][C][C][C][C][C][C][C][C][C][C][C@H1][Branch2][=Branch1][Branch2][O][C][C@H1][O][C@H1][Branch1][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][Branch2][Ring1][=Branch1][N][=C][Branch1][C][O][C][C@H1][Branch1][C][O][C][C][C][C][C][C][C][C][C][C][C][C@@H1][Branch2][Ring1][=Branch1][O][C][=Branch1][C][=O][C][C@H1][Branch1][C][O][C][C][C][C][C][C][C][C][C][C][C][C@@H1][Ring2][Ring2][=N][O][O][C@H1][Branch2][=Branch1][N][C][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch2][Ring2][N][O][C@][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch2][Ring1][C][C@@H1][Branch1][Ring1][C][O][O][P][=Branch
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,4336,chebi-20-text2mol,<SELFIES>[N][C][C][C][C][C][O][C@@H1][O][C@H1][Branch2][Branch2][Branch1][C][O][C@H1][O][C@H1][Branch2][Ring2][=Branch2][C][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Branch1][C][O][C@H1][Branch2][Ring2][Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][Ring2][Branch1][=Branch1][O][C@@H1][Branch1][C][O][C@H1][Branch2][Branch1][O][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,4560,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][C][=C][C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][/C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][C][/C][Branch1][C][C][=C][\C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][Branch2][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch2][=Branch1][S][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@H1][Branch1][C][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@H1][Branch1][C][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@H1][Branch2][Ring1][#Branch2][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,5040,chebi-20-text2mol,<SELFIES>[C][C][Branch1][C][O][=N][C@H1][C@H1][Branch2][O][N][O][C@H1][C@@H1][Branch1][C][O][C@@H1][Branch1][Ring1][C][O][O][C@@H1][Branch2][#Branch2][#Branch1][O][C@H1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch2][=Branch2][C][O][C@H1][C@H1][Branch2][Branch1][=N][O][C@H1][O][C@H1][Branch1][#Branch1][C@@H1][Branch1][C][O][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][=N][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][N][C@@H1][Ring2][Ring1][Ring1][O][C@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][=C][Branch1][C][C][O][C@H1][Branch1][C][O][C@@H1][Branch2][Ring1][=N][O][C@H1][C@@H1][Branch1][#Branch1][C@H1][Branch1][C][O][C][O][O][C@@][Branch1][C][O][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C@H1][Ring1][=C][O][O][C@@H1][Ring2][Branch1][#Branch2][C@@H1][Branch1][C][
chemdfm_non_classification,131017_chemdfm_test_rank0.csv,0,5236,chebi-20-text2mol,<SELFIES>[C][C][=C][N][Branch2][O][P][C@H1][C][C@H1][Branch2][#Branch2][#Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@H1][O][C@@H1][Branch1][S][N][C][=C][Branch1][C][C][C][Branch1][C][O][=N][C][Ring1][Branch2][=O][C][C@@H1][Ring1][=C][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@H1][O][C@@H1][Branch1][S][N][C][=C][Branch1][C][C][C][Branch1][C][O][=N][C][Ring1][Branch2][=O][C][C@@H1][Ring1][=C][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@H1][O][C@@H1][Branch1][S][N][C][=C][Branch1][C][C][C][Branch1][C][O][=N][C][Ring1][Branch2][=O][C][C@@H1][Ring1][=C][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@H1][O][C@@H1][Branch1][S][N][C][=C][Branch1][C][C][C][Branch1][C][O][=N][C][Ring1][Branch2][=O][C][C@@H1][Ring1][=C][O][C@@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][Ring2][#Branch1][N][C][=Branch1][C][=O][N][=
