Rank,Token,Count,Ratio (%),Cumulative (%)
1,[C],1218617,40.52,40.52
2,[Ring1],314682,10.46,50.98
3,[Branch1],271146,9.02,60.0
4,[O],269748,8.97,68.97
5,[=C],157774,5.25,74.21
6,[=Branch1],123103,4.09,78.31
7,[N],113970,3.79,82.1
8,[=O],81477,2.71,84.8
9,[Ring2],74618,2.48,87.29
10,[C@H1],52588,1.75,89.03
11,[C@@H1],43309,1.44,90.47
12,[Branch2],42596,1.42,91.89
13,[=N],40516,1.35,93.24
14,[#Branch1],39535,1.31,94.55
15,[#C],22925,0.76,95.31
16,[/C],16773,0.56,95.87
17,[#N],13809,0.46,96.33
18,[=Branch2],13399,0.45,96.78
19,[#Branch2],12650,0.42,97.2
20,[P],12593,0.42,97.62
21,[O-1],11873,0.39,98.01
22,[S],10297,0.34,98.35
23,[\C],8683,0.29,98.64
24,[NH1],7659,0.25,98.9
25,[F],6524,0.22,99.11
26,[=Ring1],5592,0.19,99.3
27,[C@],5083,0.17,99.47
28,[C@@],3403,0.11,99.58
29,[Cl],2540,0.08,99.67
30,[N+1],1255,0.04,99.71
31,[NH2+1],1112,0.04,99.74
32,[NH3+1],1008,0.03,99.78
33,[Br],458,0.02,99.79
34,[/C@@H1],409,0.01,99.81
35,[Na+1],400,0.01,99.82
36,[=S],374,0.01,99.83
37,[=Ring2],336,0.01,99.84
38,[=P],326,0.01,99.85
39,[NH1+1],312,0.01,99.87
40,[=NH2+1],312,0.01,99.88
41,[=N+1],283,0.01,99.88
42,[N-1],264,0.01,99.89
43,[I],200,0.01,99.9
44,[=NH1+1],169,0.01,99.91
45,[/C@H1],165,0.01,99.91
46,[Cl-1],156,0.01,99.92
47,[C-1],146,0.0,99.92
48,[\C@@H1],144,0.0,99.93
49,[/N],130,0.0,99.93
50,[OH0],112,0.0,99.93
51,[/O],109,0.0,99.94
52,[\C@H1],103,0.0,99.94
53,[\O],90,0.0,99.94
54,[=O+1],84,0.0,99.95
55,[2H],73,0.0,99.95
56,[CH1-1],61,0.0,99.95
57,[Fe],60,0.0,99.95
58,[K+1],55,0.0,99.96
59,[I-1],54,0.0,99.96
60,[Si],53,0.0,99.96
61,[\N],49,0.0,99.96
62,[S-1],48,0.0,99.96
63,[Se],47,0.0,99.96
64,[Br-1],43,0.0,99.97
65,[O+1],38,0.0,99.97
66,[Co],31,0.0,99.97
67,[As],31,0.0,99.97
68,[Branch3],28,0.0,99.97
69,[#N+1],27,0.0,99.97
70,[OH1-1],25,0.0,99.97
71,[Fe+3],23,0.0,99.97
72,[Ca+2],22,0.0,99.97
73,[Mg+2],22,0.0,99.97
74,[\O-1],21,0.0,99.97
75,[B],21,0.0,99.97
76,[\NH1],20,0.0,99.98
77,[NH1-1],20,0.0,99.98
78,[/C@@],15,0.0,99.98
79,[S+1],15,0.0,99.98
80,[Fe+2],15,0.0,99.98
81,[B-1],15,0.0,99.98
82,[CH2],14,0.0,99.98
83,[SH1-1],14,0.0,99.98
84,[Zn+2],13,0.0,99.98
85,[Li+1],12,0.0,99.98
86,[/O-1],12,0.0,99.98
87,[=N-1],12,0.0,99.98
88,[/S],11,0.0,99.98
89,[/C@],11,0.0,99.98
90,[Ni],11,0.0,99.98
91,[=As],11,0.0,99.98
92,[S-2],11,0.0,99.98
93,[Mo],10,0.0,99.98
94,[Pt+2],10,0.0,99.98
95,[S@@],9,0.0,99.98
96,[\Cl],9,0.0,99.98
97,[N@@+1],9,0.0,99.98
98,[/Cl],9,0.0,99.98
99,[#NH1+1],9,0.0,99.98
100,[CH2-1],9,0.0,99.98
