Rank,Token,Count,Ratio (%),Cumulative (%)
1,[C],458591,35.41,35.41
2,[O],144411,11.15,46.56
3,[Branch1],129864,10.03,56.59
4,[=C],92866,7.17,63.76
5,[Ring1],73603,5.68,69.44
6,[C@H1],52029,4.02,73.46
7,[=Branch1],50802,3.92,77.39
8,[C@@H1],42977,3.32,80.7
9,[=O],37066,2.86,83.57
10,[N],32307,2.49,86.06
11,[Ring2],27901,2.15,88.22
12,[Branch2],22436,1.73,89.95
13,[/C],16618,1.28,91.23
14,[=N],15182,1.17,92.4
15,[P],12231,0.94,93.35
16,[#Branch1],11817,0.91,94.26
17,[O-1],10604,0.82,95.08
18,[#Branch2],10239,0.79,95.87
19,[S],9457,0.73,96.6
20,[\C],8615,0.67,97.27
21,[=Branch2],8130,0.63,97.89
22,[C@],5035,0.39,98.28
23,[#C],3711,0.29,98.57
24,[C@@],3305,0.26,98.82
25,[Cl],2358,0.18,99.01
26,[F],2157,0.17,99.17
27,[NH1],1954,0.15,99.32
28,[N+1],1242,0.1,99.42
29,[=Ring1],1048,0.08,99.5
30,[Br],422,0.03,99.53
31,[/C@@H1],408,0.03,99.56
32,[Na+1],400,0.03,99.59
33,[NH3+1],392,0.03,99.63
34,[=S],371,0.03,99.65
35,[=Ring2],336,0.03,99.68
36,[=P],326,0.03,99.7
37,[=N+1],283,0.02,99.73
38,[I],188,0.01,99.74
39,[#N],177,0.01,99.75
40,[/C@H1],164,0.01,99.77
41,[Cl-1],156,0.01,99.78
42,[NH2+1],155,0.01,99.79
43,[NH1+1],151,0.01,99.8
44,[\C@@H1],144,0.01,99.81
45,[/N],117,0.01,99.82
46,[OH0],112,0.01,99.83
47,[N-1],112,0.01,99.84
48,[/O],110,0.01,99.85
49,[\C@H1],103,0.01,99.86
50,[=O+1],84,0.01,99.86
51,[\O],78,0.01,99.87
52,[2H],73,0.01,99.88
53,[Fe],60,0.0,99.88
54,[=NH2+1],56,0.0,99.88
55,[K+1],55,0.0,99.89
56,[I-1],54,0.0,99.89
57,[Si],53,0.0,99.9
58,[\N],49,0.0,99.9
59,[S-1],48,0.0,99.9
60,[Br-1],43,0.0,99.91
61,[Se],42,0.0,99.91
62,[C-1],42,0.0,99.91
63,[=NH1+1],40,0.0,99.92
64,[CH1-1],34,0.0,99.92
65,[O+1],33,0.0,99.92
66,[Branch3],32,0.0,99.92
67,[Co],31,0.0,99.93
68,[As],31,0.0,99.93
69,[#N+1],27,0.0,99.93
70,[OH1-1],25,0.0,99.93
71,[Fe+3],23,0.0,99.94
72,[Ca+2],22,0.0,99.94
73,[Mg+2],22,0.0,99.94
74,[\O-1],21,0.0,99.94
75,[B],21,0.0,99.94
76,[NH1-1],20,0.0,99.94
77,[\NH1],19,0.0,99.94
78,[/C@@],15,0.0,99.95
79,[Fe+2],15,0.0,99.95
80,[B-1],15,0.0,99.95
81,[CH2],14,0.0,99.95
82,[SH1-1],14,0.0,99.95
83,[S+1],13,0.0,99.95
84,[Zn+2],13,0.0,99.95
85,[Li+1],12,0.0,99.95
86,[/O-1],12,0.0,99.95
87,[=N-1],12,0.0,99.96
88,[/C@],11,0.0,99.96
89,[Ni],11,0.0,99.96
90,[=As],11,0.0,99.96
91,[S-2],11,0.0,99.96
92,[Mo],10,0.0,99.96
93,[/S],10,0.0,99.96
94,[Pt+2],10,0.0,99.96
95,[S@@],9,0.0,99.96
96,[\Cl],9,0.0,99.96
97,[N@@+1],9,0.0,99.96
98,[/Cl],9,0.0,99.96
99,[#NH1+1],9,0.0,99.96
100,[CH2-1],9,0.0,99.97
